animal_name,sex,genotype,Duration_sec,Section,Frequency
TDP43-Q331K-B6J-IC/5.1g,m,TDP-43_Q331K:Hom,75.44,centre,22
TDP43-Q331K-B6J-IC/5.1j,m,TDP-43_Q331K:Hom,106.24,centre,27
TDP43-Q331K-B6J-IC/6.1a,f,TDP-43_Q331K:WT,80.96,centre,29
TDP43-Q331K-B6J-IC/6.1c,f,TDP-43_Q331K:WT,29.6,centre,13
TDP43-Q331K-B6J-IC/6.1d,f,TDP-43_Q331K:Hom,83.52,centre,16
TDP43-Q331K-B6J-IC/6.1g,m,TDP-43_Q331K:WT,67.68,centre,17
TDP43-Q331K-B6J-IC/6.2d,f,TDP-43_Q331K:Hom,95.92,centre,22
TDP43-Q331K-B6J-IC/6.3c,m,TDP-43_Q331K:WT,89.6,centre,21
TDP43-Q331K-B6J-IC/6.3f,m,TDP-43_Q331K:Hom,56.08,centre,21
TDP43-Q331K-B6J-IC/6.3g,m,TDP-43_Q331K:Hom,84.72,centre,27
TDP43-Q331K-B6J-IC/7.1e,m,TDP-43_Q331K:WT,77.76,centre,25
TDP43-Q331K-B6J-IC/8.1d,m,TDP-43_Q331K:WT,94.4,centre,28
TDP43-Q331K-B6J-IC/8.1e,m,TDP-43_Q331K:WT,66.64,centre,18
TDP43-Q331K-B6J-IC/8.2c,f,TDP-43_Q331K:Hom,49.12,centre,17
TDP43-Q331K-B6J-IC/8.2e,m,TDP-43_Q331K:Hom,67.2,centre,19
TDP43-Q331K-B6J-IC/9.1a,f,TDP-43_Q331K:WT,102.96,centre,29
TDP43-Q331K-B6J-IC/9.1g,m,TDP-43_Q331K:WT,57.36,centre,21
TDP43-Q331K-B6J-IC/9.1h,m,TDP-43_Q331K:Hom,48.88,centre,15
TDP43-Q331K-B6J-IC/9.2a,f,TDP-43_Q331K:WT,111.04,centre,25
TDP43-Q331K-B6J-IC/9.2c,m,TDP-43_Q331K:WT,85.52,centre,19
TDP43-Q331K-B6J-IC/9.2f,m,TDP-43_Q331K:Hom,75.6,centre,20
