animal_name,sex,genotype,inh,Duration_sec,Section,Frequency
C9ORF72-GR400-MAT-B6J/3.1c,f,C9ORF72-GR400-B6J:WT,MAT,36.64,centre,18
C9ORF72-GR400-MAT-B6J/4.1b,f,C9ORF72-GR400-B6J:WT,MAT,36.88,centre,24
C9ORF72-GR400-MAT-B6J/7.1e,f,C9ORF72-GR400-B6J:WT,MAT,64.88,centre,17
C9ORF72-GR400-MAT-B6J/7.1g,f,C9ORF72-GR400-B6J:WT,MAT,61.76,centre,16
C9ORF72-GR400-PAT-B6J/3.1c,f,C9ORF72-GR400-B6J:WT,PAT,52.88,centre,16
C9ORF72-GR400-PAT-B6J/3.1e,f,C9ORF72-GR400-B6J:WT,PAT,67.68,centre,25
C9ORF72-GR400-PAT-B6J/4.1a,f,C9ORF72-GR400-B6J:WT,PAT,75.76,centre,18
C9ORF72-GR400-PAT-B6J/6.1a,f,C9ORF72-GR400-B6J:WT,PAT,91.68,centre,15
C9ORF72-GR400-PAT-B6J/6.2a,f,C9ORF72-GR400-B6J:WT,PAT,63.76,centre,12
C9ORF72-GR400-PAT-B6J/6.2b,f,C9ORF72-GR400-B6J:WT,PAT,42.88,centre,8
C9ORF72-GR400-MAT-B6J/1.3i,m,C9ORF72-GR400-B6J:WT,MAT,104.72,centre,20
C9ORF72-GR400-MAT-B6J/2.2g,m,C9ORF72-GR400-B6J:WT,MAT,77.28,centre,17
C9ORF72-GR400-MAT-B6J/2.2i,m,C9ORF72-GR400-B6J:WT,MAT,86.88,centre,22
C9ORF72-GR400-MAT-B6J/4.2a,m,C9ORF72-GR400-B6J:WT,MAT,40.32,centre,20
C9ORF72-GR400-MAT-B6J/4.2g,m,C9ORF72-GR400-B6J:WT,MAT,83.92,centre,20
C9ORF72-GR400-MAT-B6J/6.2c,m,C9ORF72-GR400-B6J:WT,MAT,52.24,centre,10
C9ORF72-GR400-PAT-B6J/3.2d,m,C9ORF72-GR400-B6J:WT,PAT,88.96,centre,24
C9ORF72-GR400-PAT-B6J/5.1c,m,C9ORF72-GR400-B6J:WT,PAT,126.24,centre,13
C9ORF72-GR400-PAT-B6J/5.1d,m,C9ORF72-GR400-B6J:WT,PAT,69.6,centre,23
C9ORF72-GR400-PAT-B6J/7.2c,m,C9ORF72-GR400-B6J:WT,PAT,48.64,centre,9
C9ORF72-GR400-PAT-B6J/7.2e,m,C9ORF72-GR400-B6J:WT,PAT,72,centre,17
C9ORF72-GR400-PAT-B6J/7.2g,m,C9ORF72-GR400-B6J:WT,PAT,75.68,centre,20
C9ORF72-GR400-MAT-B6J/1.3c,f,C9ORF72-GR400-B6J:Het,MAT,104.64,centre,19
C9ORF72-GR400-MAT-B6J/2.2d,f,C9ORF72-GR400-B6J:Het,MAT,75.76,centre,17
C9ORF72-GR400-MAT-B6J/3.1f,f,C9ORF72-GR400-B6J:Het,MAT,56.32,centre,18
C9ORF72-GR400-MAT-B6J/4.1g,f,C9ORF72-GR400-B6J:Het,MAT,54.96,centre,17
C9ORF72-GR400-MAT-B6J/5.1e,f,C9ORF72-GR400-B6J:Het,MAT,57.12,centre,20
C9ORF72-GR400-MAT-B6J/7.1d,f,C9ORF72-GR400-B6J:Het,MAT,58.32,centre,15
C9ORF72-GR400-PAT-B6J/3.1d,f,C9ORF72-GR400-B6J:Het,PAT,106.16,centre,22
C9ORF72-GR400-PAT-B6J/3.2b,f,C9ORF72-GR400-B6J:Het,PAT,83.6,centre,17
C9ORF72-GR400-PAT-B6J/4.2a,f,C9ORF72-GR400-B6J:Het,PAT,68.88,centre,21
C9ORF72-GR400-PAT-B6J/6.2c,f,C9ORF72-GR400-B6J:Het,PAT,66.16,centre,18
C9ORF72-GR400-PAT-B6J/7.2b,f,C9ORF72-GR400-B6J:Het,PAT,102.72,centre,14
C9ORF72-GR400-PAT-B6J/8.1b,f,C9ORF72-GR400-B6J:Het,PAT,90.72,centre,15
C9ORF72-GR400-MAT-B6J/1.3k,m,C9ORF72-GR400-B6J:Het,MAT,85.92,centre,19
C9ORF72-GR400-MAT-B6J/1.4e,m,C9ORF72-GR400-B6J:Het,MAT,65.2,centre,26
C9ORF72-GR400-MAT-B6J/3.1h,m,C9ORF72-GR400-B6J:Het,MAT,73.52,centre,23
C9ORF72-GR400-MAT-B6J/4.2f,m,C9ORF72-GR400-B6J:Het,MAT,66,centre,24
C9ORF72-GR400-MAT-B6J/6.1c,m,C9ORF72-GR400-B6J:Het,MAT,34.96,centre,14
C9ORF72-GR400-MAT-B6J/6.2f,m,C9ORF72-GR400-B6J:Het,MAT,83.6,centre,29
C9ORF72-GR400-PAT-B6J/3.2e,m,C9ORF72-GR400-B6J:Het,PAT,68.16,centre,14
C9ORF72-GR400-PAT-B6J/3.2h,m,C9ORF72-GR400-B6J:Het,PAT,75.92,centre,25
C9ORF72-GR400-PAT-B6J/4.1c,m,C9ORF72-GR400-B6J:Het,PAT,83.36,centre,23
C9ORF72-GR400-PAT-B6J/6.1f,m,C9ORF72-GR400-B6J:Het,PAT,38.08,centre,13
C9ORF72-GR400-PAT-B6J/7.2h,m,C9ORF72-GR400-B6J:Het,PAT,51.2,centre,17
C9ORF72-GR400-PAT-B6J/8.1h,m,C9ORF72-GR400-B6J:Het,PAT,80.56,centre,22
