animal_name,sex,genotype,fatmass,mean_experimental_age,freewater,leanmass,totalwater
TDP43-Q331K-B6J-IC/1.1b,f,TDP-43_Q331K:Hom,2.24,10,0.14,17.67,14.24
TDP43-Q331K-B6J-IC/1.1b,f,TDP-43_Q331K:Hom,6.67,20,0.15,21.18,16.72
TDP43-Q331K-B6J-IC/1.1b,f,TDP-43_Q331K:Hom,19.08,48,0.11,23.56,18.51
TDP43-Q331K-B6J-IC/1.1b,f,TDP-43_Q331K:Hom,29.83,64,0.07,26,20.96
TDP43-Q331K-B6J-IC/1.1b,f,TDP-43_Q331K:Hom,30.89,72,0.02,27.73,21.57
TDP43-Q331K-B6J-IC/1.1c,f,TDP-43_Q331K:Hom,2.58,10,0.15,19.42,15.72
TDP43-Q331K-B6J-IC/1.1c,f,TDP-43_Q331K:Hom,5.94,20,0,20.51,16.49
TDP43-Q331K-B6J-IC/1.1c,f,TDP-43_Q331K:Hom,13.7,48,0.14,22.18,17.6
TDP43-Q331K-B6J-IC/1.1c,f,TDP-43_Q331K:Hom,19.55,64,0.3,23.87,19.68
TDP43-Q331K-B6J-IC/1.1c,f,TDP-43_Q331K:Hom,18.43,72,0.3,24.83,20.23
TDP43-Q331K-B6J-IC/1.2b,f,TDP-43_Q331K:Hom,3.69,10,0.56,16.96,13.83
TDP43-Q331K-B6J-IC/1.2b,f,TDP-43_Q331K:Hom,5.21,20,0.26,19.06,14.15
TDP43-Q331K-B6J-IC/1.2b,f,TDP-43_Q331K:Hom,20.47,48,0.11,21.58,17
TDP43-Q331K-B6J-IC/1.2b,f,TDP-43_Q331K:Hom,26.31,64,0.17,25.94,22.74
TDP43-Q331K-B6J-IC/1.2b,f,TDP-43_Q331K:Hom,28.89,72,0,26,22.7
TDP43-Q331K-B6J-IC/2.2a,f,TDP-43_Q331K:Hom,2.6,10,0.25,25.16,20.04
TDP43-Q331K-B6J-IC/2.2a,f,TDP-43_Q331K:Hom,4.18,20,0.07,19.67,15.78
TDP43-Q331K-B6J-IC/2.2a,f,TDP-43_Q331K:Hom,10,48,0.03,20.18,16.57
TDP43-Q331K-B6J-IC/2.2a,f,TDP-43_Q331K:Hom,10.13,64,0.29,21.22,16.96
TDP43-Q331K-B6J-IC/2.3c,f,TDP-43_Q331K:Hom,3.12,10,0,17.96,7.68
TDP43-Q331K-B6J-IC/2.3c,f,TDP-43_Q331K:Hom,5.78,20,0.12,19.41,13.13
TDP43-Q331K-B6J-IC/2.3c,f,TDP-43_Q331K:Hom,17.89,48,0.05,22.01,17.62
TDP43-Q331K-B6J-IC/2.3c,f,TDP-43_Q331K:Hom,17.46,64,0.31,23.82,20.62
TDP43-Q331K-B6J-IC/2.3c,f,TDP-43_Q331K:Hom,14.36,72,0,26.18,22.13
TDP43-Q331K-B6J-IC/4.1a,f,TDP-43_Q331K:Hom,1.49,10,0.41,24.99,20.42
TDP43-Q331K-B6J-IC/4.1a,f,TDP-43_Q331K:Hom,6.38,20,0.23,20.33,15.9
TDP43-Q331K-B6J-IC/4.1a,f,TDP-43_Q331K:Hom,18.66,48,0.46,22.51,17.88
TDP43-Q331K-B6J-IC/4.1a,f,TDP-43_Q331K:Hom,17.76,64,0.93,23.25,19.74
TDP43-Q331K-B6J-IC/4.1a,f,TDP-43_Q331K:Hom,20.35,72,0.26,23.68,19.31
TDP43-Q331K-B6J-IC/4.2e,f,TDP-43_Q331K:Hom,3.21,10,0.7,17.93,3.86
TDP43-Q331K-B6J-IC/4.2e,f,TDP-43_Q331K:Hom,4.14,20,0.13,19.26,15.35
TDP43-Q331K-B6J-IC/4.2e,f,TDP-43_Q331K:Hom,13.13,48,0.06,21.76,17.68
TDP43-Q331K-B6J-IC/4.2e,f,TDP-43_Q331K:Hom,18.45,64,0.02,22.31,19.31
TDP43-Q331K-B6J-IC/4.2e,f,TDP-43_Q331K:Hom,18.98,72,0.05,22.07,19.62
TDP43-Q331K-B6J-IC/5.1f,f,TDP-43_Q331K:Hom,1.75,10,1.32,17.55,12.93
TDP43-Q331K-B6J-IC/5.1f,f,TDP-43_Q331K:Hom,3.3,20,0.13,17.76,14.02
TDP43-Q331K-B6J-IC/5.1f,f,TDP-43_Q331K:Hom,11.31,48,0.49,19.18,15.79
TDP43-Q331K-B6J-IC/5.1f,f,TDP-43_Q331K:Hom,13.51,64,0.4,20,17.64
TDP43-Q331K-B6J-IC/5.1f,f,TDP-43_Q331K:Hom,14.76,72,0.17,20.26,17.64
TDP43-Q331K-B6J-IC/6.1d,f,TDP-43_Q331K:Hom,1.69,10,0.31,25.55,20.28
TDP43-Q331K-B6J-IC/6.1d,f,TDP-43_Q331K:Hom,4.79,20,0.1,18.32,14.36
TDP43-Q331K-B6J-IC/6.1d,f,TDP-43_Q331K:Hom,13.75,48,0.03,21.47,17.07
TDP43-Q331K-B6J-IC/6.1d,f,TDP-43_Q331K:Hom,21.37,64,0.23,21.86,17.73
TDP43-Q331K-B6J-IC/6.1d,f,TDP-43_Q331K:Hom,23.6,72,0.11,22.03,17.94
TDP43-Q331K-B6J-IC/6.2d,f,TDP-43_Q331K:Hom,2.95,10,0.03,18.34,14.54
TDP43-Q331K-B6J-IC/6.2d,f,TDP-43_Q331K:Hom,4.55,20,0.01,19.84,15.43
TDP43-Q331K-B6J-IC/6.2d,f,TDP-43_Q331K:Hom,20.46,48,0.15,21.74,16.93
TDP43-Q331K-B6J-IC/6.2d,f,TDP-43_Q331K:Hom,23.57,64,0.1,22.95,20.23
TDP43-Q331K-B6J-IC/6.2d,f,TDP-43_Q331K:Hom,24.41,72,0.13,23,20.06
TDP43-Q331K-B6J-IC/8.2c,f,TDP-43_Q331K:Hom,2.57,10,0.06,17.48,13.9
TDP43-Q331K-B6J-IC/8.2c,f,TDP-43_Q331K:Hom,3.3,20,0.15,18.26,21.13
TDP43-Q331K-B6J-IC/8.2c,f,TDP-43_Q331K:Hom,7.83,48,0,20.77,11.65
TDP43-Q331K-B6J-IC/8.2c,f,TDP-43_Q331K:Hom,9.31,64,0.01,21.3,17.65
