animal_name,genotype,sex,inh,smell,time
C9ORF72-GR400-MAT-B6J/2.2g,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,W1,26.4
C9ORF72-GR400-MAT-B6J/2.2g,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,W2,3.8
C9ORF72-GR400-MAT-B6J/2.2g,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,W3,10.9
C9ORF72-GR400-MAT-B6J/2.2i,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,F1,42.4
C9ORF72-GR400-MAT-B6J/2.2i,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,F2,10.1
C9ORF72-GR400-MAT-B6J/2.2i,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,F3,6.8
C9ORF72-GR400-MAT-B6J/2.2i,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,N1,30.5
C9ORF72-GR400-MAT-B6J/2.2i,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,N2,12.4
C9ORF72-GR400-MAT-B6J/2.2i,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,N3,10.7
C9ORF72-GR400-MAT-B6J/2.2i,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,W1,
C9ORF72-GR400-MAT-B6J/2.2i,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,W2,
C9ORF72-GR400-MAT-B6J/2.2i,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,W3,
C9ORF72-GR400-MAT-B6J/3.1c,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,F1,37
C9ORF72-GR400-MAT-B6J/3.1c,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,F2,3
C9ORF72-GR400-MAT-B6J/3.1c,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,F3,17.3
C9ORF72-GR400-MAT-B6J/3.1c,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,N1,32.7
C9ORF72-GR400-MAT-B6J/3.1c,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,N2,15.5
C9ORF72-GR400-MAT-B6J/3.1c,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,N3,12.9
C9ORF72-GR400-MAT-B6J/3.1c,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,W1,19.3
C9ORF72-GR400-MAT-B6J/3.1c,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,W2,7.9
C9ORF72-GR400-MAT-B6J/3.1c,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,W3,0
C9ORF72-GR400-MAT-B6J/3.1f,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F1,22.8
C9ORF72-GR400-MAT-B6J/3.1f,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F2,29.4
C9ORF72-GR400-MAT-B6J/3.1f,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F3,25.4
C9ORF72-GR400-MAT-B6J/3.1f,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N1,17.9
C9ORF72-GR400-MAT-B6J/3.1f,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N2,24.9
C9ORF72-GR400-MAT-B6J/3.1f,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N3,38.9
C9ORF72-GR400-MAT-B6J/3.1f,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W1,19.2
C9ORF72-GR400-MAT-B6J/3.1f,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W2,15.4
C9ORF72-GR400-MAT-B6J/3.1f,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W3,4.3
C9ORF72-GR400-MAT-B6J/3.1h,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,F1,
C9ORF72-GR400-MAT-B6J/3.1h,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,F2,
C9ORF72-GR400-MAT-B6J/3.1h,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,F3,
C9ORF72-GR400-MAT-B6J/3.1h,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N1,53.6
C9ORF72-GR400-MAT-B6J/3.1h,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N2,29.4
C9ORF72-GR400-MAT-B6J/3.1h,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N3,17.9
C9ORF72-GR400-MAT-B6J/3.1h,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,W1,63.8
C9ORF72-GR400-MAT-B6J/3.1h,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,W2,9.8
C9ORF72-GR400-MAT-B6J/3.1h,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,W3,12.1
C9ORF72-GR400-MAT-B6J/4.1b,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,F1,14.9
C9ORF72-GR400-MAT-B6J/4.1b,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,F2,12.1
C9ORF72-GR400-MAT-B6J/4.1b,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,F3,0.3
C9ORF72-GR400-MAT-B6J/4.1b,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,N1,40.1
C9ORF72-GR400-MAT-B6J/4.1b,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,N2,6.2
C9ORF72-GR400-MAT-B6J/4.1b,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,N3,3.6
C9ORF72-GR400-MAT-B6J/4.1b,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,W1,
C9ORF72-GR400-MAT-B6J/4.1b,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,W2,
C9ORF72-GR400-MAT-B6J/4.1b,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,W3,
C9ORF72-GR400-MAT-B6J/4.1g,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F1,39
C9ORF72-GR400-MAT-B6J/4.1g,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F2,8.6
C9ORF72-GR400-MAT-B6J/4.1g,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F3,5.6
C9ORF72-GR400-MAT-B6J/4.1g,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N1,41.4
C9ORF72-GR400-MAT-B6J/4.1g,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N2,30.2
C9ORF72-GR400-MAT-B6J/4.1g,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N3,12.4
C9ORF72-GR400-MAT-B6J/4.1g,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W1,
C9ORF72-GR400-MAT-B6J/4.1g,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W2,
C9ORF72-GR400-MAT-B6J/4.1g,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W3,
C9ORF72-GR400-MAT-B6J/4.2a,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,F1,31.2
C9ORF72-GR400-MAT-B6J/4.2a,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,F2,6.4
C9ORF72-GR400-MAT-B6J/4.2a,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,F3,5.9
C9ORF72-GR400-MAT-B6J/4.2a,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,N1,
C9ORF72-GR400-MAT-B6J/4.2a,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,N2,
C9ORF72-GR400-MAT-B6J/4.2a,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,N3,
C9ORF72-GR400-MAT-B6J/4.2a,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,W1,
C9ORF72-GR400-MAT-B6J/4.2a,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,W2,
C9ORF72-GR400-MAT-B6J/4.2a,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,W3,
C9ORF72-GR400-MAT-B6J/4.2f,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,F1,34.7
C9ORF72-GR400-MAT-B6J/4.2f,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,F2,10.9
C9ORF72-GR400-MAT-B6J/4.2f,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,F3,10.1
C9ORF72-GR400-MAT-B6J/4.2f,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N1,50.4
C9ORF72-GR400-MAT-B6J/4.2f,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N2,31.8
C9ORF72-GR400-MAT-B6J/4.2f,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N3,12.9
C9ORF72-GR400-MAT-B6J/4.2f,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,W1,24.4
C9ORF72-GR400-MAT-B6J/4.2f,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,W2,2
C9ORF72-GR400-MAT-B6J/4.2f,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,W3,0.5
C9ORF72-GR400-MAT-B6J/4.2g,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,F1,25.3
C9ORF72-GR400-MAT-B6J/4.2g,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,F2,23.6
C9ORF72-GR400-MAT-B6J/4.2g,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,F3,5.3
C9ORF72-GR400-MAT-B6J/4.2g,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,N1,61.9
C9ORF72-GR400-MAT-B6J/4.2g,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,N2,7.4
C9ORF72-GR400-MAT-B6J/4.2g,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,N3,47.7
C9ORF72-GR400-MAT-B6J/4.2g,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,W1,10.1
C9ORF72-GR400-MAT-B6J/4.2g,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,W2,4
C9ORF72-GR400-MAT-B6J/4.2g,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,W3,7.6
C9ORF72-GR400-MAT-B6J/5.1e,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F1,
C9ORF72-GR400-MAT-B6J/5.1e,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F2,
C9ORF72-GR400-MAT-B6J/5.1e,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F3,
C9ORF72-GR400-MAT-B6J/5.1e,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N1,
C9ORF72-GR400-MAT-B6J/5.1e,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N2,
C9ORF72-GR400-MAT-B6J/5.1e,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N3,
C9ORF72-GR400-MAT-B6J/5.1e,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W1,
C9ORF72-GR400-MAT-B6J/5.1e,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W2,
C9ORF72-GR400-MAT-B6J/5.1e,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W3,
C9ORF72-GR400-MAT-B6J/6.1c,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,F1,51.4
C9ORF72-GR400-MAT-B6J/6.1c,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,F2,54.3
C9ORF72-GR400-MAT-B6J/6.1c,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,F3,26.7
